EnsemblID	patMutRate	matMutRate	pat_quant	mat_quant	male_CPM_log2geoMean	female_CPM_log2geoMean
ENSG00000060971	0	0	3	3	3.18507537537125	3.51347761500013
ENSG00000167315	6.31153749053269e-05	0	4	4	6.19798028042847	6.32307838760742
ENSG00000076555	4.62250632292829e-05	1.98107413839784e-05	2	2	1.520271010646	0.909812599154972
ENSG00000111271	0	0	3	2	2.68166057684471	2.44818882034712
ENSG00000240303	9.81103938151208e-06	9.81103938151208e-06	2	2	1.84336251187553	2.74337865428649
ENSG00000151498	0	0	3	3	4.07341439651683	3.77631937497303
ENSG00000177646	0	0	3	3	3.95796471144772	3.92351005523583
ENSG00000115361	0	0	1	1	0.113455234895509	0.43452707126211
ENSG00000117054	6.34578164165371e-05	1.58644541041343e-05	4	4	7.96383618399456	7.73474662921549
ENSG00000122971	7.0452303790334e-05	0	4	3	4.92357243864213	3.77860275642153
ENSG00000196177	4.06355398431468e-05	2.03177699215734e-05	3	2	2.67408013095025	1.59261387983779
ENSG00000072778	0	0	4	4	4.93682722222534	5.77187217663496
ENSG00000157766	1.41368732063842e-05	2.82737464127684e-05	2	2	1.44669916659294	2.00787046287738
ENSG00000072818	0	0	2	2	0.908494012894434	0.868497689620634
ENSG00000114331	6.54158365793464e-05	1.78406827034581e-05	4	4	5.15143126431466	4.90689464154196
ENSG00000131584	0.000118927275970744	0	2	2	2.47183487451825	2.29341541673808
ENSG00000075239	0	9.72762645914397e-05	4	4	4.79636833818651	4.85712653353969
ENSG00000120437	0	0.000117322696075556	4	4	5.74441693552308	6.61602201664517
ENSG00000182827	2.38191649000786e-05	0	3	4	4.20626948441325	5.19730640294128
ENSG00000181513	0	0	2	2	1.6252615831428	1.12958535223891
ENSG00000107897	2.67834424758614e-05	0	2	2	1.60837456648389	2.49896690804323
ENSG00000230124	3.86828905575064e-05	0	4	4	5.53482606020651	6.15470743508575
ENSG00000176244	0	7.52219046186249e-05	1	1	0.189112882258029	0.817052276819536
ENSG00000110455	0.000163961305131989	0	1	2	0.361263224892085	0.873899363055059
ENSG00000205126	8.33819728174769e-05	0	1	1	0.0597591178892541	0.130548364737541
ENSG00000102977	0	0	3	3	3.23583741734452	4.4699609097267
ENSG00000159640	4.69219219219219e-05	4.69219219219219e-05	3	3	3.2405250976667	2.84874356882528
ENSG00000167769	0	0	1	1	0	0.0189962056818179
ENSG00000177076	0.000115024500218547	4.60098000874186e-05	2	2	2.03639433649282	2.23812391155606
ENSG00000078124	1.20800666819681e-05	1.81201000229521e-05	3	3	3.81704757209575	3.70059976062897
ENSG00000087085	0.000143926309729419	0	2	2	1.27429080134976	1.7544165636225
ENSG00000100813	0.000135054832261898	5.40219329047593e-05	4	4	5.33908272775032	5.4904718909433
ENSG00000213088	0	0	1	1	0.0278174649254524	0.0140287352774426
ENSG00000144648	2.40459759059321e-05	1.20229879529661e-05	2	2	0.885458465075163	1.3145670003487
ENSG00000144476	0	0	1	1	0.26370778134521	0.376241619262688
ENSG00000129048	0	0	1	1	0.0151546288684064	0.166620264954895
ENSG00000131473	1.5747287529723e-05	0	4	4	5.27175339393335	5.00616538020354
ENSG00000122729	2.85188723637867e-05	0	3	3	2.73361281521446	3.65552571884038
ENSG00000100412	3.68772356824132e-05	0	4	4	6.12202265498294	6.17425181180409
ENSG00000162390	3.10327706057597e-05	0	2	2	1.4257243388424	1.28619986211769
ENSG00000172497	4.67471756914686e-05	0	1	1	0.0825517772139455	0.317633826036228
ENSG00000112304	0.000105604984555271	0	4	4	5.66145658176016	5.68585182816004
ENSG00000119673	0	0	3	2	3.83623394998001	2.58442573059751
ENSG00000177465	0	0	3	3	2.95253325614811	3.4183702943536
ENSG00000205669	0	0	1	1	0.20629005745742	0.154895059018192
ENSG00000097021	3.86359948382311e-05	1.54543979352924e-05	4	4	6.37407799099251	5.98512013852481
ENSG00000101473	6.378771448619e-05	6.378771448619e-05	4	4	4.6955750347273	5.22441243666367
ENSG00000161533	0	2.65900872154861e-05	3	3	3.77570896815183	4.13473461950105
ENSG00000168306	0	0	2	2	1.48244684012673	1.06528704608204
ENSG00000087008	2.68943723525852e-05	6.7235930881463e-05	2	2	1.28895953516643	2.00453649986464
ENSG00000153093	5.67181340765128e-05	1.03123880139114e-05	3	3	3.15456453818934	2.95304426695686
ENSG00000143727	0.000141612971748212	0	4	4	7.95309341987763	7.79864227827475
ENSG00000134575	0.000104123281965848	0	2	3	1.55347040381814	3.09431639430761
ENSG00000102575	0	0	4	3	4.61192556808519	3.459062004338
ENSG00000162836	9.7935998824768e-05	0	2	2	1.59132639125475	2.18129465716582
ENSG00000100312	0	0	1	1	0.0378177853377969	0.215090795834739
ENSG00000111644	0	0	3	2	3.10574288524404	2.66199807754877
ENSG00000134940	0	0	1	1	0.0406137641383003	0.243085247645703
ENSG00000103740	3.84285293401822e-05	1.28095097800607e-05	3	2	2.73266659815439	2.59521678901294
ENSG00000130377	0	0	1	1	0.160740223781197	0.151207460357362
ENSG00000167107	8.21726447265705e-05	2.05431611816426e-05	2	2	1.20962055397071	1.46011383079604
ENSG00000176715	2.65886732252061e-05	0	2	2	2.41847464762702	2.74324340560381
